Produto,Categoria,Data da venda,Loja,Cidade,Quantidade,Valor da venda
Cadeira Gamer,Móveis,2023-07-31,Loja Petrópolis,Petrópolis,4,14287.82
Impressora,Periféricos,2025-01-20,Loja Niterói,Niterói,3,14755.33
Monitor,Eletrônicos,2024-01-29,Loja Nova Iguaçu,Nova Iguaçu,5,13165.84
Headset,Acessórios,2024-08-26,Loja Nova Iguaçu,Nova Iguaçu,3,4772.22
HD Externo,Armazenamento,2023-12-15,Loja Barra,Rio de Janeiro,5,18739.59
Headset,Acessórios,2024-02-03,Loja Centro,Rio de Janeiro,4,10119.04
Smartphone,Eletrônicos,2023-09-15,Loja Centro,Rio de Janeiro,4,8686.33
Notebook,Eletrônicos,2025-11-29,Loja Petrópolis,Petrópolis,4,1897.06
Webcam,Periféricos,2025-12-19,Loja Duque,Duque de Caxias,4,5462.32
Monitor,Eletrônicos,2024-12-22,Loja Centro,Rio de Janeiro,3,7860.85
Roteador,Redes,2025-05-31,Loja Centro,Rio de Janeiro,2,9215.31
HD Externo,Armazenamento,2025-11-01,Loja Petrópolis,Petrópolis,1,555.71
Webcam,Periféricos,2023-05-13,Loja Nova Iguaçu,Nova Iguaçu,5,7162.68
Mouse,Acessórios,2025-10-06,Loja Norte,Rio de Janeiro,5,11172.77
Headset,Acessórios,2023-12-11,Loja Centro,Rio de Janeiro,2,3994.17
HD Externo,Armazenamento,2025-12-30,Loja Teresópolis,Teresópolis,4,11185.88
Notebook,Eletrônicos,2024-04-13,Loja Norte,Rio de Janeiro,2,7914.82
Cadeira Gamer,Móveis,2025-04-28,Loja Centro,Rio de Janeiro,1,3234.21
Teclado,Acessórios,2025-01-13,Loja Petrópolis,Petrópolis,1,4762.9
Pendrive,Armazenamento,2023-07-27,Loja Petrópolis,Petrópolis,4,15626.09
Monitor,Eletrônicos,2025-03-04,Loja São Gonçalo,São Gonçalo,4,15893.3
Roteador,Redes,2024-08-31,Loja Centro,Rio de Janeiro,3,8260.4
Impressora,Periféricos,2023-12-17,Loja Norte,Rio de Janeiro,2,7365.97
Mesa Escritório,Móveis,2023-05-29,Loja Niterói,Niterói,2,8310.24
Monitor,Eletrônicos,2023-05-28,Loja Sul,Rio de Janeiro,1,3537.66
Mesa Escritório,Móveis,2024-06-09,Loja Niterói,Niterói,3,10983.13
Webcam,Periféricos,2024-09-03,Loja Petrópolis,Petrópolis,3,13477.33
Cadeira Gamer,Móveis,2024-09-19,Loja Centro,Rio de Janeiro,3,6968.08
Smartwatch,Eletrônicos,2024-04-06,Loja Norte,Rio de Janeiro,2,663.19
Webcam,Periféricos,2023-08-10,Loja Centro,Rio de Janeiro,2,3752.09
Cadeira Gamer,Móveis,2024-12-02,Loja Niterói,Niterói,5,6816.77
Teclado,Acessórios,2023-05-15,Loja Duque,Duque de Caxias,3,14215.97
Roteador,Redes,2025-12-03,Loja Centro,Rio de Janeiro,5,12566.55
Mouse,Acessórios,2024-06-28,Loja Duque,Duque de Caxias,4,785.74
Teclado,Acessórios,2024-10-23,Loja Niterói,Niterói,4,15576.65
Impressora,Periféricos,2023-01-25,Loja Sul,Rio de Janeiro,1,775.19
Smartphone,Eletrônicos,2025-10-13,Loja Teresópolis,Teresópolis,4,14808.79
Notebook,Eletrônicos,2025-04-10,Loja Duque,Duque de Caxias,4,11681.9
Headset,Acessórios,2025-05-21,Loja Petrópolis,Petrópolis,3,11383.79
Roteador,Redes,2024-08-15,Loja Teresópolis,Teresópolis,3,12482.32
Monitor,Eletrônicos,2024-01-19,Loja Teresópolis,Teresópolis,5,15296.94
Mesa Escritório,Móveis,2023-02-08,Loja Niterói,Niterói,3,7101.01
Smartwatch,Eletrônicos,2023-03-25,Loja Duque,Duque de Caxias,2,8752.59
Pendrive,Armazenamento,2024-08-27,Loja São Gonçalo,São Gonçalo,1,3216.03
Impressora,Periféricos,2024-02-07,Loja Norte,Rio de Janeiro,4,1997.36
Mesa Escritório,Móveis,2024-06-14,Loja Norte,Rio de Janeiro,5,13185.42
HD Externo,Armazenamento,2024-10-03,Loja Niterói,Niterói,4,1110.05
Smartwatch,Eletrônicos,2024-12-11,Loja Duque,Duque de Caxias,1,2861.06
Smartphone,Eletrônicos,2024-11-03,Loja Centro,Rio de Janeiro,2,9887.49
Monitor,Eletrônicos,2025-05-25,Loja São Gonçalo,São Gonçalo,2,2072.34
Headset,Acessórios,2025-10-10,Loja Nova Iguaçu,Nova Iguaçu,1,4952.4
Pendrive,Armazenamento,2025-09-18,Loja Petrópolis,Petrópolis,5,12777.71
Cadeira Gamer,Móveis,2025-06-14,Loja Petrópolis,Petrópolis,1,2737.52
Notebook,Eletrônicos,2024-05-10,Loja Niterói,Niterói,4,11880.48
Tablet,Eletrônicos,2025-07-27,Loja Sul,Rio de Janeiro,5,24028.36
Notebook,Eletrônicos,2024-05-12,Loja Niterói,Niterói,2,9553.34
Teclado,Acessórios,2023-09-10,Loja Barra,Rio de Janeiro,4,2639.78
Cadeira Gamer,Móveis,2025-11-18,Loja Teresópolis,Teresópolis,4,11442.86
Impressora,Periféricos,2025-04-06,Loja São Gonçalo,São Gonçalo,1,3226.64
Pendrive,Armazenamento,2023-01-12,Loja Nova Iguaçu,Nova Iguaçu,2,1209.93
Mesa Escritório,Móveis,2025-01-26,Loja São Gonçalo,São Gonçalo,3,14589.63
Webcam,Periféricos,2024-10-08,Loja Niterói,Niterói,1,4199.05
Mesa Escritório,Móveis,2023-07-15,Loja Barra,Rio de Janeiro,4,6989.21
Cadeira Gamer,Móveis,2023-11-18,Loja Nova Iguaçu,Nova Iguaçu,4,2911.01
Smartwatch,Eletrônicos,2024-07-15,Loja Teresópolis,Teresópolis,5,18609.14
Impressora,Periféricos,2023-04-02,Loja Niterói,Niterói,1,2730.08
Roteador,Redes,2025-12-12,Loja Centro,Rio de Janeiro,1,942.88
Pendrive,Armazenamento,2023-09-27,Loja Petrópolis,Petrópolis,5,10959.48
Monitor,Eletrônicos,2023-07-01,Loja Nova Iguaçu,Nova Iguaçu,4,16087.58
Teclado,Acessórios,2025-05-14,Loja São Gonçalo,São Gonçalo,4,13996.29
HD Externo,Armazenamento,2025-04-20,Loja Centro,Rio de Janeiro,4,18923.99
HD Externo,Armazenamento,2025-10-16,Loja Centro,Rio de Janeiro,4,14823.43
Smartwatch,Eletrônicos,2024-04-06,Loja Niterói,Niterói,5,8424.6
Cadeira Gamer,Móveis,2025-03-23,Loja São Gonçalo,São Gonçalo,1,106.89
Teclado,Acessórios,2023-12-05,Loja Norte,Rio de Janeiro,4,16860.72
Smartwatch,Eletrônicos,2025-11-08,Loja Nova Iguaçu,Nova Iguaçu,4,15411.86
Pendrive,Armazenamento,2025-11-26,Loja Niterói,Niterói,1,2223.57
Mesa Escritório,Móveis,2024-02-05,Loja Barra,Rio de Janeiro,1,2922.6
Mouse,Acessórios,2023-05-09,Loja Petrópolis,Petrópolis,1,2173.91
Mesa Escritório,Móveis,2024-03-11,Loja Sul,Rio de Janeiro,4,2414.83
Pendrive,Armazenamento,2024-08-27,Loja Barra,Rio de Janeiro,5,24283.88
Webcam,Periféricos,2023-05-27,Loja São Gonçalo,São Gonçalo,1,877.81
Roteador,Redes,2023-09-08,Loja Niterói,Niterói,2,2625.6
Mesa Escritório,Móveis,2023-01-02,Loja Teresópolis,Teresópolis,2,9579.16
Webcam,Periféricos,2024-08-12,Loja Teresópolis,Teresópolis,2,1697.6
Mesa Escritório,Móveis,2023-05-06,Loja São Gonçalo,São Gonçalo,1,368.75
Mouse,Acessórios,2024-05-07,Loja Sul,Rio de Janeiro,1,2276.98
HD Externo,Armazenamento,2025-09-16,Loja Barra,Rio de Janeiro,1,4095.86
Roteador,Redes,2023-08-03,Loja Barra,Rio de Janeiro,3,11974.79
Headset,Acessórios,2024-07-01,Loja São Gonçalo,São Gonçalo,1,4765.35
Smartwatch,Eletrônicos,2025-03-26,Loja Niterói,Niterói,3,6925.89
Roteador,Redes,2024-10-15,Loja Teresópolis,Teresópolis,3,3622.94
Impressora,Periféricos,2025-10-13,Loja Petrópolis,Petrópolis,5,13756.85
Roteador,Redes,2024-01-21,Loja Norte,Rio de Janeiro,2,8604.28
Webcam,Periféricos,2023-01-11,Loja Nova Iguaçu,Nova Iguaçu,4,12279.57
Cadeira Gamer,Móveis,2025-11-05,Loja Nova Iguaçu,Nova Iguaçu,1,1177.19
Mesa Escritório,Móveis,2024-12-11,Loja São Gonçalo,São Gonçalo,2,9235.97
Webcam,Periféricos,2024-04-06,Loja Nova Iguaçu,Nova Iguaçu,1,2063.37
Teclado,Acessórios,2025-03-01,Loja Norte,Rio de Janeiro,2,2994.49
Roteador,Redes,2024-06-14,Loja Sul,Rio de Janeiro,4,17762.33
Roteador,Redes,2024-05-04,Loja Niterói,Niterói,5,16950.33
Impressora,Periféricos,2024-04-17,Loja Petrópolis,Petrópolis,2,2865.63
Monitor,Eletrônicos,2023-11-14,Loja Sul,Rio de Janeiro,2,4620.38
Teclado,Acessórios,2023-08-20,Loja Niterói,Niterói,1,639.4
Mesa Escritório,Móveis,2024-02-20,Loja São Gonçalo,São Gonçalo,4,15554.46
Impressora,Periféricos,2023-08-04,Loja Petrópolis,Petrópolis,2,1569.26
Smartphone,Eletrônicos,2023-06-06,Loja São Gonçalo,São Gonçalo,2,6370.18
Pendrive,Armazenamento,2025-10-10,Loja Teresópolis,Teresópolis,4,7739.52
HD Externo,Armazenamento,2024-11-04,Loja Nova Iguaçu,Nova Iguaçu,5,23296.16
Monitor,Eletrônicos,2025-10-10,Loja Petrópolis,Petrópolis,2,5827.74
Mesa Escritório,Móveis,2025-01-26,Loja Niterói,Niterói,5,15342.84
Impressora,Periféricos,2024-11-10,Loja Niterói,Niterói,1,2158.88
Tablet,Eletrônicos,2024-08-30,Loja Barra,Rio de Janeiro,3,1853.14
Pendrive,Armazenamento,2024-06-30,Loja Petrópolis,Petrópolis,1,3885.54
Headset,Acessórios,2024-05-03,Loja Sul,Rio de Janeiro,1,874.5
Impressora,Periféricos,2024-10-11,Loja Centro,Rio de Janeiro,2,3868.56
Smartphone,Eletrônicos,2025-08-31,Loja Sul,Rio de Janeiro,3,11836.35
Cadeira Gamer,Móveis,2025-07-31,Loja Nova Iguaçu,Nova Iguaçu,4,19296.29
Mouse,Acessórios,2024-03-20,Loja Sul,Rio de Janeiro,2,6218.42
Monitor,Eletrônicos,2025-01-12,Loja Barra,Rio de Janeiro,3,4704.11
Notebook,Eletrônicos,2025-07-01,Loja Duque,Duque de Caxias,5,10846.34
Smartphone,Eletrônicos,2023-12-31,Loja Norte,Rio de Janeiro,1,4075.6
Teclado,Acessórios,2023-02-26,Loja Barra,Rio de Janeiro,1,3788.42
Impressora,Periféricos,2023-04-27,Loja Barra,Rio de Janeiro,2,3248.51
Mesa Escritório,Móveis,2025-03-22,Loja Duque,Duque de Caxias,1,1826.9
Teclado,Acessórios,2023-01-23,Loja Barra,Rio de Janeiro,1,1346.16
Smartwatch,Eletrônicos,2025-08-27,Loja Niterói,Niterói,3,682.56
Pendrive,Armazenamento,2023-03-22,Loja São Gonçalo,São Gonçalo,3,8155.49
Impressora,Periféricos,2023-02-02,Loja Duque,Duque de Caxias,3,6665.25
Smartphone,Eletrônicos,2023-06-01,Loja Nova Iguaçu,Nova Iguaçu,3,10898.86
Cadeira Gamer,Móveis,2025-01-04,Loja Barra,Rio de Janeiro,3,7268.38
Tablet,Eletrônicos,2024-09-11,Loja Niterói,Niterói,1,212.91
Pendrive,Armazenamento,2023-01-16,Loja Petrópolis,Petrópolis,3,422.14
Mesa Escritório,Móveis,2023-04-26,Loja Norte,Rio de Janeiro,5,15640.94
Cadeira Gamer,Móveis,2025-11-01,Loja Nova Iguaçu,Nova Iguaçu,5,357.74
Headset,Acessórios,2024-09-27,Loja Petrópolis,Petrópolis,1,1397.48
Roteador,Redes,2023-10-24,Loja Niterói,Niterói,2,4044.19
Webcam,Periféricos,2025-12-12,Loja Sul,Rio de Janeiro,4,5221.68
Mouse,Acessórios,2024-12-21,Loja Teresópolis,Teresópolis,4,6730.59
Smartwatch,Eletrônicos,2025-08-19,Loja Petrópolis,Petrópolis,3,10771.15
Roteador,Redes,2024-06-14,Loja Niterói,Niterói,4,9169.88
Mesa Escritório,Móveis,2024-03-29,Loja São Gonçalo,São Gonçalo,3,10706.5
Smartwatch,Eletrônicos,2025-02-02,Loja Barra,Rio de Janeiro,1,2070.22
Tablet,Eletrônicos,2023-01-22,Loja Barra,Rio de Janeiro,4,9948.88
HD Externo,Armazenamento,2025-12-24,Loja Teresópolis,Teresópolis,2,3652.9
Headset,Acessórios,2023-07-09,Loja Niterói,Niterói,2,6772.41
Monitor,Eletrônicos,2023-03-20,Loja Barra,Rio de Janeiro,4,808.91
Monitor,Eletrônicos,2023-05-29,Loja Duque,Duque de Caxias,2,4855.94
Impressora,Periféricos,2023-06-29,Loja Nova Iguaçu,Nova Iguaçu,5,22254.89
Roteador,Redes,2024-01-29,Loja Nova Iguaçu,Nova Iguaçu,5,2286.23
Notebook,Eletrônicos,2025-08-03,Loja Teresópolis,Teresópolis,4,15073.59
HD Externo,Armazenamento,2025-03-26,Loja Niterói,Niterói,3,11542.69
Notebook,Eletrônicos,2024-12-07,Loja São Gonçalo,São Gonçalo,1,365.43
Smartphone,Eletrônicos,2025-11-22,Loja Barra,Rio de Janeiro,3,5799.6
Tablet,Eletrônicos,2024-09-16,Loja Centro,Rio de Janeiro,2,2899.54
Pendrive,Armazenamento,2024-05-02,Loja Petrópolis,Petrópolis,3,5334.42
Tablet,Eletrônicos,2023-11-16,Loja Niterói,Niterói,5,24284.86
Webcam,Periféricos,2024-11-14,Loja Nova Iguaçu,Nova Iguaçu,5,24713.32
Cadeira Gamer,Móveis,2023-12-23,Loja Centro,Rio de Janeiro,1,1604.39
Roteador,Redes,2024-01-02,Loja Nova Iguaçu,Nova Iguaçu,4,1026.15
Smartwatch,Eletrônicos,2023-05-26,Loja Norte,Rio de Janeiro,4,6403.89
Headset,Acessórios,2023-06-03,Loja Duque,Duque de Caxias,1,2555.07
Pendrive,Armazenamento,2024-12-23,Loja Norte,Rio de Janeiro,2,4660.93
Tablet,Eletrônicos,2024-05-01,Loja São Gonçalo,São Gonçalo,3,10904.26
Cadeira Gamer,Móveis,2023-12-16,Loja Nova Iguaçu,Nova Iguaçu,5,19140.35
Smartphone,Eletrônicos,2023-01-23,Loja Duque,Duque de Caxias,4,10443.4
Impressora,Periféricos,2023-09-10,Loja Norte,Rio de Janeiro,4,16250.27
Mesa Escritório,Móveis,2024-06-28,Loja Nova Iguaçu,Nova Iguaçu,3,6243.04
Notebook,Eletrônicos,2023-11-24,Loja Niterói,Niterói,1,4377.65
Smartwatch,Eletrônicos,2024-06-30,Loja Nova Iguaçu,Nova Iguaçu,2,3418.42
Monitor,Eletrônicos,2025-06-27,Loja Barra,Rio de Janeiro,1,3125.25
Cadeira Gamer,Móveis,2025-11-05,Loja Nova Iguaçu,Nova Iguaçu,4,12665.27
Headset,Acessórios,2025-11-12,Loja Nova Iguaçu,Nova Iguaçu,5,10946.14
Notebook,Eletrônicos,2023-07-14,Loja Centro,Rio de Janeiro,2,7039.0
Monitor,Eletrônicos,2024-07-10,Loja São Gonçalo,São Gonçalo,5,16987.11
Teclado,Acessórios,2024-11-09,Loja Centro,Rio de Janeiro,4,19339.13
Roteador,Redes,2023-10-18,Loja Barra,Rio de Janeiro,4,13932.54
Notebook,Eletrônicos,2025-06-20,Loja Barra,Rio de Janeiro,4,18322.5
Teclado,Acessórios,2025-11-05,Loja Petrópolis,Petrópolis,3,5049.46
Smartphone,Eletrônicos,2023-08-07,Loja São Gonçalo,São Gonçalo,1,4942.36
Tablet,Eletrônicos,2024-03-26,Loja Niterói,Niterói,4,3452.68
Impressora,Periféricos,2024-04-23,Loja Niterói,Niterói,4,13478.0
Notebook,Eletrônicos,2025-02-06,Loja Centro,Rio de Janeiro,3,8475.55
Cadeira Gamer,Móveis,2023-12-30,Loja Duque,Duque de Caxias,3,2074.24
Smartwatch,Eletrônicos,2025-06-17,Loja Barra,Rio de Janeiro,2,6622.98
Tablet,Eletrônicos,2025-07-25,Loja Petrópolis,Petrópolis,3,12311.61
Roteador,Redes,2024-08-18,Loja Sul,Rio de Janeiro,1,3941.35
Cadeira Gamer,Móveis,2025-05-17,Loja Norte,Rio de Janeiro,2,8015.62
Webcam,Periféricos,2025-01-04,Loja Petrópolis,Petrópolis,1,1179.03
Impressora,Periféricos,2025-05-19,Loja Niterói,Niterói,3,5615.84
Smartwatch,Eletrônicos,2024-08-11,Loja Petrópolis,Petrópolis,2,3707.92
Cadeira Gamer,Móveis,2025-09-15,Loja Duque,Duque de Caxias,4,14873.5
Impressora,Periféricos,2023-09-13,Loja Centro,Rio de Janeiro,5,7667.52
Notebook,Eletrônicos,2024-01-15,Loja Norte,Rio de Janeiro,3,8951.27
Cadeira Gamer,Móveis,2024-02-01,Loja Duque,Duque de Caxias,2,2975.98
Impressora,Periféricos,2023-06-28,Loja Norte,Rio de Janeiro,4,2573.74
HD Externo,Armazenamento,2025-09-14,Loja Petrópolis,Petrópolis,4,14512.51
Tablet,Eletrônicos,2025-03-01,Loja Norte,Rio de Janeiro,2,8638.14
Mesa Escritório,Móveis,2023-07-18,Loja Petrópolis,Petrópolis,5,7714.69
Cadeira Gamer,Móveis,2025-04-19,Loja Niterói,Niterói,4,19009.53
Mesa Escritório,Móveis,2024-07-31,Loja Nova Iguaçu,Nova Iguaçu,5,4516.72
Monitor,Eletrônicos,2023-09-03,Loja Niterói,Niterói,3,10322.92
Headset,Acessórios,2024-06-30,Loja Petrópolis,Petrópolis,3,3778.83
Smartphone,Eletrônicos,2025-10-30,Loja Duque,Duque de Caxias,2,1457.04
Monitor,Eletrônicos,2024-03-05,Loja Niterói,Niterói,3,3218.92
Notebook,Eletrônicos,2024-09-03,Loja Sul,Rio de Janeiro,5,20565.59
Roteador,Redes,2024-05-05,Loja São Gonçalo,São Gonçalo,4,994.19
Mouse,Acessórios,2024-12-28,Loja Niterói,Niterói,5,22617.38
Mesa Escritório,Móveis,2024-10-20,Loja Duque,Duque de Caxias,1,3198.88
Monitor,Eletrônicos,2023-08-31,Loja Barra,Rio de Janeiro,3,13074.36
Roteador,Redes,2023-03-07,Loja Petrópolis,Petrópolis,2,8894.39
Mouse,Acessórios,2023-03-09,Loja São Gonçalo,São Gonçalo,2,3697.5
Notebook,Eletrônicos,2025-09-14,Loja Niterói,Niterói,4,15332.89
Notebook,Eletrônicos,2024-04-17,Loja Barra,Rio de Janeiro,5,17449.44
Mesa Escritório,Móveis,2025-05-18,Loja São Gonçalo,São Gonçalo,4,4604.43
Roteador,Redes,2024-04-16,Loja Centro,Rio de Janeiro,3,13329.51
Smartwatch,Eletrônicos,2023-03-25,Loja Norte,Rio de Janeiro,1,3306.34
Smartwatch,Eletrônicos,2025-10-05,Loja Sul,Rio de Janeiro,1,1972.62
Pendrive,Armazenamento,2025-11-28,Loja Duque,Duque de Caxias,2,3903.47
Monitor,Eletrônicos,2025-04-27,Loja Nova Iguaçu,Nova Iguaçu,1,3849.65
Tablet,Eletrônicos,2024-09-08,Loja Nova Iguaçu,Nova Iguaçu,5,18839.47
Cadeira Gamer,Móveis,2023-06-10,Loja São Gonçalo,São Gonçalo,3,3955.37
Headset,Acessórios,2025-03-04,Loja Duque,Duque de Caxias,3,9472.19
Headset,Acessórios,2023-07-24,Loja Petrópolis,Petrópolis,1,110.23
Mouse,Acessórios,2025-05-26,Loja Barra,Rio de Janeiro,1,886.27
HD Externo,Armazenamento,2024-09-25,Loja Petrópolis,Petrópolis,1,341.6
Notebook,Eletrônicos,2025-07-26,Loja Barra,Rio de Janeiro,4,9577.66
Headset,Acessórios,2024-09-14,Loja Teresópolis,Teresópolis,2,7359.28
Tablet,Eletrônicos,2024-10-08,Loja Niterói,Niterói,4,10436.57
Monitor,Eletrônicos,2025-05-23,Loja São Gonçalo,São Gonçalo,2,3845.7
Monitor,Eletrônicos,2024-11-15,Loja Barra,Rio de Janeiro,3,11083.13
Tablet,Eletrônicos,2025-03-06,Loja São Gonçalo,São Gonçalo,4,998.65
Notebook,Eletrônicos,2024-03-01,Loja Barra,Rio de Janeiro,2,194.66
Monitor,Eletrônicos,2024-04-23,Loja Sul,Rio de Janeiro,1,2967.74
Headset,Acessórios,2025-07-16,Loja Nova Iguaçu,Nova Iguaçu,3,4712.55
Tablet,Eletrônicos,2023-05-03,Loja Barra,Rio de Janeiro,4,11930.3
Tablet,Eletrônicos,2025-06-10,Loja Petrópolis,Petrópolis,1,4552.28
HD Externo,Armazenamento,2023-08-18,Loja Niterói,Niterói,1,2877.75
Monitor,Eletrônicos,2023-05-27,Loja Nova Iguaçu,Nova Iguaçu,5,10997.93
Teclado,Acessórios,2023-03-01,Loja Centro,Rio de Janeiro,2,1720.53
Teclado,Acessórios,2024-09-06,Loja Centro,Rio de Janeiro,1,3053.4
Smartwatch,Eletrônicos,2023-11-11,Loja Norte,Rio de Janeiro,1,4883.26
Smartwatch,Eletrônicos,2025-06-02,Loja Petrópolis,Petrópolis,3,13521.11
Impressora,Periféricos,2025-12-04,Loja Niterói,Niterói,5,22438.58
Smartphone,Eletrônicos,2025-01-28,Loja São Gonçalo,São Gonçalo,5,4832.24
Impressora,Periféricos,2023-10-02,Loja Nova Iguaçu,Nova Iguaçu,5,11851.59
Mesa Escritório,Móveis,2025-09-14,Loja Teresópolis,Teresópolis,4,16153.57
Smartwatch,Eletrônicos,2023-12-05,Loja Nova Iguaçu,Nova Iguaçu,5,8061.44
Mouse,Acessórios,2023-01-04,Loja Norte,Rio de Janeiro,1,1895.25
Cadeira Gamer,Móveis,2025-02-06,Loja Petrópolis,Petrópolis,3,9070.6
Cadeira Gamer,Móveis,2025-07-18,Loja Barra,Rio de Janeiro,1,2852.65
Tablet,Eletrônicos,2023-12-29,Loja Barra,Rio de Janeiro,5,22076.8
Mouse,Acessórios,2023-05-22,Loja Sul,Rio de Janeiro,2,8123.23
Mouse,Acessórios,2025-12-05,Loja Nova Iguaçu,Nova Iguaçu,4,17668.94
Smartphone,Eletrônicos,2025-03-01,Loja Barra,Rio de Janeiro,2,8903.35
Smartphone,Eletrônicos,2023-12-20,Loja Nova Iguaçu,Nova Iguaçu,4,2780.42
Pendrive,Armazenamento,2025-04-14,Loja Duque,Duque de Caxias,5,18399.54
Impressora,Periféricos,2024-06-12,Loja Barra,Rio de Janeiro,1,2763.67
HD Externo,Armazenamento,2025-08-06,Loja Petrópolis,Petrópolis,1,4012.52
Smartphone,Eletrônicos,2023-07-31,Loja Barra,Rio de Janeiro,3,14990.39
Roteador,Redes,2025-08-25,Loja São Gonçalo,São Gonçalo,4,8157.02
HD Externo,Armazenamento,2025-01-06,Loja Centro,Rio de Janeiro,4,11970.64
Notebook,Eletrônicos,2024-05-05,Loja Petrópolis,Petrópolis,3,3548.55
Mesa Escritório,Móveis,2025-01-29,Loja Centro,Rio de Janeiro,3,10136.79
Notebook,Eletrônicos,2024-12-05,Loja Teresópolis,Teresópolis,3,14017.1
Impressora,Periféricos,2025-04-23,Loja São Gonçalo,São Gonçalo,3,13432.81
Webcam,Periféricos,2023-05-22,Loja Nova Iguaçu,Nova Iguaçu,2,7821.17
HD Externo,Armazenamento,2025-09-20,Loja Centro,Rio de Janeiro,4,13627.95
Impressora,Periféricos,2025-12-29,Loja São Gonçalo,São Gonçalo,5,1491.68
Impressora,Periféricos,2025-10-30,Loja Sul,Rio de Janeiro,3,1470.69
Monitor,Eletrônicos,2024-12-05,Loja Sul,Rio de Janeiro,1,2805.51
HD Externo,Armazenamento,2025-12-16,Loja Norte,Rio de Janeiro,3,14024.8
Roteador,Redes,2024-01-10,Loja Sul,Rio de Janeiro,4,7599.92
Cadeira Gamer,Móveis,2025-11-02,Loja Duque,Duque de Caxias,4,15199.23
Webcam,Periféricos,2025-01-12,Loja Norte,Rio de Janeiro,3,2377.07
Roteador,Redes,2024-02-13,Loja São Gonçalo,São Gonçalo,1,2957.22
Roteador,Redes,2024-06-13,Loja Petrópolis,Petrópolis,5,21252.27
Notebook,Eletrônicos,2024-07-01,Loja Duque,Duque de Caxias,3,2916.66
Teclado,Acessórios,2023-04-02,Loja Nova Iguaçu,Nova Iguaçu,3,2955.59
Smartwatch,Eletrônicos,2024-12-19,Loja Sul,Rio de Janeiro,5,19893.21
Headset,Acessórios,2023-08-05,Loja Nova Iguaçu,Nova Iguaçu,5,536.02
Headset,Acessórios,2024-04-13,Loja Duque,Duque de Caxias,2,5513.34
HD Externo,Armazenamento,2024-09-15,Loja Barra,Rio de Janeiro,5,11509.19
Impressora,Periféricos,2024-10-24,Loja Duque,Duque de Caxias,1,2676.91
Headset,Acessórios,2024-01-18,Loja Norte,Rio de Janeiro,5,10246.21
HD Externo,Armazenamento,2023-06-25,Loja Niterói,Niterói,4,18277.11
Mesa Escritório,Móveis,2025-10-17,Loja São Gonçalo,São Gonçalo,3,7376.16
Cadeira Gamer,Móveis,2023-10-15,Loja Sul,Rio de Janeiro,2,9158.95
Cadeira Gamer,Móveis,2023-06-07,Loja São Gonçalo,São Gonçalo,2,3169.26
HD Externo,Armazenamento,2023-02-05,Loja Sul,Rio de Janeiro,2,5226.1
Pendrive,Armazenamento,2024-12-13,Loja Teresópolis,Teresópolis,3,5814.36
Teclado,Acessórios,2024-07-26,Loja Barra,Rio de Janeiro,3,3473.17
Pendrive,Armazenamento,2023-09-03,Loja Centro,Rio de Janeiro,5,23923.59
Roteador,Redes,2025-02-21,Loja Sul,Rio de Janeiro,5,15687.12
Smartwatch,Eletrônicos,2023-08-25,Loja Barra,Rio de Janeiro,5,15069.65
Impressora,Periféricos,2023-05-10,Loja Sul,Rio de Janeiro,2,393.61
Notebook,Eletrônicos,2025-08-01,Loja Centro,Rio de Janeiro,2,9977.25
Headset,Acessórios,2023-01-19,Loja Norte,Rio de Janeiro,5,22258.33
Smartwatch,Eletrônicos,2023-05-14,Loja Centro,Rio de Janeiro,3,14495.28
Monitor,Eletrônicos,2024-11-15,Loja Duque,Duque de Caxias,5,9568.86
Headset,Acessórios,2023-04-29,Loja Sul,Rio de Janeiro,5,19238.28
Mouse,Acessórios,2023-12-22,Loja Barra,Rio de Janeiro,5,7032.39
Impressora,Periféricos,2025-09-21,Loja Nova Iguaçu,Nova Iguaçu,4,5273.6
Monitor,Eletrônicos,2023-12-31,Loja Duque,Duque de Caxias,4,6750.87
Tablet,Eletrônicos,2024-06-12,Loja Norte,Rio de Janeiro,1,2259.43
HD Externo,Armazenamento,2023-12-14,Loja São Gonçalo,São Gonçalo,5,13510.06
Headset,Acessórios,2025-07-09,Loja Duque,Duque de Caxias,5,24184.62
Monitor,Eletrônicos,2023-04-07,Loja Sul,Rio de Janeiro,3,10540.47
Tablet,Eletrônicos,2025-03-15,Loja Niterói,Niterói,1,3580.74
Mouse,Acessórios,2025-08-27,Loja Duque,Duque de Caxias,5,23063.44
Pendrive,Armazenamento,2025-04-19,Loja Nova Iguaçu,Nova Iguaçu,5,20211.99
Tablet,Eletrônicos,2025-01-22,Loja Norte,Rio de Janeiro,5,4254.81
Mouse,Acessórios,2024-05-19,Loja Petrópolis,Petrópolis,4,12534.15
Smartphone,Eletrônicos,2024-09-03,Loja Barra,Rio de Janeiro,4,19082.59
Monitor,Eletrônicos,2024-01-10,Loja São Gonçalo,São Gonçalo,5,9851.39
Smartphone,Eletrônicos,2024-02-08,Loja Barra,Rio de Janeiro,1,4975.4
Mouse,Acessórios,2023-03-24,Loja Petrópolis,Petrópolis,3,6819.1
Mesa Escritório,Móveis,2023-09-16,Loja São Gonçalo,São Gonçalo,1,650.65
Smartwatch,Eletrônicos,2024-05-12,Loja Centro,Rio de Janeiro,3,9246.25
